"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"1","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2","black","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"3","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"4","black","TRUE","FALSE",NA,"FALSE",NA
"5","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"6","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"7","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"8","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"9","white","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"10","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"11","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"12","white","FALSE",NA,"citation","FALSE","sat in police vehicle"
"13","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"14","asian/pacific islander",NA,NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"15","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"16","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"17","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"18","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"19","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"20","hispanic","TRUE","TRUE","citation","FALSE","handcuffed"
"21","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"22","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"23","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"24","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"25","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"26","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"27","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"28","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"29","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"30","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"31","hispanic","TRUE","TRUE",NA,"FALSE",NA
"32","white","TRUE","FALSE",NA,"FALSE","handcuffed"
"33","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"34","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"35","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"36","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"37","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"38","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"39","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"40","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"41","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"42","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"43","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"44","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"45","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"46","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"47","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"48","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"49","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"50","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"51","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"52","hispanic","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"53","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"54","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"55","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"56","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"57","other/unknown","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"58","hispanic","TRUE","FALSE","arrest","TRUE","sat in police vehicle"
"59","hispanic","TRUE","FALSE","arrest","TRUE","sat in police vehicle"
"60","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"61","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"62","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"63","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"64","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"65","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"66","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"67","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"68","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"69","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"70","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"71","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"72","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"73","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"74","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"75","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"76","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"77","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"78","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"79","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"80","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"81","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"82","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"83","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"84","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"85","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"86","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"87","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"88","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"89","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"90","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"91","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"92","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"93","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"94","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"95","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"96","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"97","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"98","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"99","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"100",NA,NA,NA,"arrest","TRUE",NA
"101","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"102","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"103","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"104","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"105","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"106","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"107","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"108","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"109",NA,NA,NA,NA,NA,NA
"110","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"111","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"112","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"113","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"114","white","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"115","other/unknown","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"116","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"117","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"118","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"119","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"120","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"121","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"122","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"123","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"124","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"125","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"126","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"127","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"128","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"129","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"130","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"131","hispanic","TRUE","TRUE","citation","FALSE","no curb, no handcuff, no police vehicle"
"132","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"133","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"134","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"135","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"136","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"137","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"138","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"139","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"140","white","FALSE",NA,NA,"FALSE","sat in police vehicle"
"141","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"142","white","FALSE",NA,NA,"FALSE","sat in police vehicle"
"143","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"144","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"145","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"146","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"147","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"148","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"149","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"150","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"151","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"152","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"153","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"154","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"155","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"156","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"157","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"158","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"159","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"160","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"161","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"162","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"163","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"164","asian/pacific islander",NA,NA,"citation","FALSE",NA
"165","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"166","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"167","white","FALSE",NA,"citation","FALSE",NA
"168","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"169","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"170","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"171","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"172","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"173","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"174","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"175","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"176","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"177","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"178","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"179","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"180","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"181","hispanic","TRUE","FALSE","citation","FALSE","handcuffed"
"182","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"183","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"184","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"185","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"186","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"187","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"188","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"189","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"190","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"191","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"192","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"193","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"194","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"195","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"196","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"197","hispanic","TRUE","FALSE",NA,"FALSE","handcuffed"
"198","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"199","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"200","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"201","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"202","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"203","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"204","black","TRUE","FALSE","citation","FALSE","handcuffed"
"205","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"206","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"207","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"208","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"209","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"210","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"211","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"212","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"213","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"214","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"215","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"216","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"217","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"218","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"219","hispanic","FALSE",NA,NA,"FALSE",NA
"220","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"221","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"222","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"223","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"224","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"225","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"226","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"227","hispanic","TRUE","FALSE",NA,"FALSE","handcuffed"
"228","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"229","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"230","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"231","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"232","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"233","hispanic","TRUE","FALSE","citation","FALSE","sat in police vehicle"
"234","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"235","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"236","hispanic","TRUE","FALSE",NA,"FALSE",NA
"237","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"238","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"239","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"240","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"241","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"242","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"243","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"244","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"245","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"246","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"247","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"248","hispanic","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"249","hispanic","TRUE","TRUE","citation","FALSE","no curb, no handcuff, no police vehicle"
"250","hispanic","TRUE","TRUE","citation","FALSE","handcuffed"
"251","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"252","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"253","hispanic","TRUE","FALSE",NA,"FALSE",NA
"254","hispanic","FALSE",NA,NA,"FALSE",NA
"255","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"256","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"257","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"258","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"259","hispanic","TRUE","FALSE",NA,"FALSE","sat in police vehicle"
"260","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"261","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"262","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"263","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"264","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"265","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"266","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"267","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"268","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"269","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"270","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"271","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"272","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"273","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"274","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"275","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"276","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"277","black","TRUE","FALSE","citation","FALSE",NA
"278","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"279","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"280","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"281","hispanic","TRUE","TRUE","citation","FALSE","no curb, no handcuff, no police vehicle"
"282","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"283","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"284","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"285","other/unknown","TRUE","FALSE",NA,"FALSE","sat in police vehicle"
"286","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"287","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"288","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"289","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"290","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"291","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"292","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"293","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"294","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"295","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"296","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"297","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"298","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"299","white","TRUE","TRUE","citation","FALSE","no curb, no handcuff, no police vehicle"
"300","black","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"301","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"302","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"303","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"304","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"305","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"306","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"307","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"308","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"309","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"310","black","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"311","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"312","hispanic",NA,NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"313","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"314","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"315","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"316","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"317","asian/pacific islander","FALSE",NA,"citation","FALSE",NA
"318","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"319","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"320","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"321","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"322","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"323","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"324","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"325","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"326","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"327","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"328","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"329","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"330","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"331","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"332","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
