"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2406","black","TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2407","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2408","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2409","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2410","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2411","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2412","black","TRUE","FALSE",NA,"FALSE","handcuffed"
"2413","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2414","white","FALSE",NA,NA,"FALSE",NA
"2415","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2416","hispanic","FALSE",NA,NA,NA,"no curb, no handcuff, no police vehicle"
"2417","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2418","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2419","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2420","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2421","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2422","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2423","hispanic","TRUE","FALSE","arrest","TRUE","no curb, no handcuff, no police vehicle"
"2424","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2425","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2426","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2427","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2428","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2429","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2430","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2431","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2432","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2433","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2434","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2435","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2436","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2437","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2438","hispanic","TRUE","FALSE","arrest","TRUE","handcuffed"
"2439","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2440","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2441","white","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2442","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2443","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2444","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2445","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2446","hispanic","TRUE","FALSE","citation","FALSE",NA
"2447","other/unknown","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2448","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2449","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2450","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2451","other/unknown","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2452","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2453","white","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2454","black","TRUE","TRUE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2455","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2456","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
